#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
27.207366,0.002012,3.332876,4.134040,4.134040,51.964310
27.582176,0.001894,3.486755,4.075837,4.075837,52.532650
28.113872,0.002027,3.764565,4.317136,4.317136,53.996493
56.513339,0.002698,3.453993,4.167468,4.167468,81.752990
34.290994,0.000907,3.831264,5.562670,5.562670,61.572493
29.277668,0.002016,3.699181,4.246180,4.246180,55.196465
33.222262,0.001144,4.752472,4.096511,4.096511,61.874732
28.768320,0.001915,3.264974,4.304739,4.304739,53.915395
26.911201,0.001237,3.187007,3.518899,3.518899,55.048523
26.865208,0.001355,3.445307,4.013273,4.013273,52.088558
33.051912,0.006411,3.900986,4.041664,4.041664,59.536125
28.665534,0.009176,3.847637,4.734757,4.734757,60.294142
31.716022,0.009250,4.067422,3.812478,3.812478,67.127305
43.229526,0.015692,4.998533,4.098912,4.098912,78.741166
58.249750,0.006780,4.699497,4.110832,4.110832,94.327486
29.612157,0.012017,5.110960,4.260356,4.260356,67.450217
30.738970,0.011724,5.322576,5.031111,5.031111,71.278906
30.705674,0.011182,5.668585,4.534278,4.534278,73.052839
26.560653,0.007108,6.008909,4.889548,4.889548,66.958098
26.136969,0.010183,4.954241,4.407300,4.407300,69.894569
30.196575,0.040055,7.036518,4.233274,4.233274,68.748676
35.402389,0.005956,6.170967,4.190107,4.190107,74.512615
37.294087,0.004152,7.510272,4.261281,4.261281,81.411817
37.495173,0.010641,5.674257,4.849090,4.849090,82.582485
36.807792,0.004762,7.514077,3.972996,3.972996,77.977054
36.509225,0.005277,6.603398,4.271876,4.271876,77.655520
48.126874,0.003180,5.652325,4.201340,4.201340,84.109101
34.294238,0.002811,5.432140,4.005815,4.005815,69.286593
34.933772,0.003973,5.336320,3.956599,3.956599,68.695767
36.841224,0.003002,5.355731,4.478922,4.478922,72.599055
35.682844,0.003662,5.136277,4.565766,4.565766,81.137962
35.063072,0.003928,5.171434,4.572901,4.572901,68.121205
37.001853,0.003946,4.918510,4.056116,4.056116,71.714862
36.947936,0.002540,4.845284,3.859055,3.859055,69.158088
35.285809,0.002065,4.594553,3.939306,3.939306,77.322904
39.354391,0.002053,4.334451,4.052833,4.052833,68.324949
33.950163,0.001654,4.170488,3.377203,3.377203,68.456749
33.160203,0.001336,3.977488,3.318802,3.318802,62.613958
38.617836,0.000840,3.638886,3.296751,3.296751,65.249499
33.750427,0.001297,3.558411,3.166283,3.166283,68.511695
35.551250,0.000646,3.647149,3.554877,3.554877,66.168776
37.649755,0.000790,3.294759,3.144861,3.144861,60.152338
46.184531,0.001579,2.643949,2.691631,2.691631,63.047071
35.037776,0.000780,2.585655,2.656372,2.656372,50.225391
40.637740,0.000262,2.565368,2.715766,2.715766,56.062850
39.850238,0.000216,2.781867,2.573703,2.573703,56.632112
41.176788,0.001985,2.980596,2.554457,2.554457,64.754975
40.886127,0.013294,3.350856,2.375716,2.375716,57.898318
39.409211,0.009304,3.845533,2.256256,2.256256,59.014416
38.967186,0.008552,3.869023,2.603884,2.603884,59.176458
42.489506,0.017277,3.726242,2.703301,2.703301,58.969084
40.698114,0.011323,3.904165,2.677554,2.677554,55.741863
43.993231,0.007506,4.442609,2.828369,2.828369,62.016604
49.292232,0.009875,4.404098,4.538148,4.538148,78.168346
61.908487,0.010794,7.064957,4.180801,4.180801,89.364065
69.317123,0.006373,4.275160,3.001252,3.001252,85.746916
50.287075,0.006129,4.468463,3.170671,3.170671,68.718592
52.251677,0.005112,4.150210,3.020314,3.020314,69.664605
51.734943,0.003653,4.221527,2.716270,2.716270,68.024014
54.613313,0.003495,4.333736,2.653455,2.653455,71.761052
49.749076,0.003377,4.456018,2.719252,2.719252,66.036398
49.319513,0.004493,4.371029,2.801052,2.801052,66.647820
46.077099,0.006881,6.957539,3.365083,3.365083,67.926872
49.470763,0.004188,4.289914,2.988881,2.988881,72.269207
49.911333,0.004113,4.351154,3.064208,3.064208,68.498416
51.071838,0.004510,3.914439,2.616565,2.616565,68.393017
53.778736,0.004282,4.001166,2.616908,2.616908,71.916609
63.951438,0.003859,4.716926,2.717074,2.717074,82.284604
57.476058,0.005235,4.305380,2.367783,2.367783,76.398296
61.200654,0.008945,4.345382,2.640366,2.640366,80.050893
60.221945,0.004884,4.361337,2.597370,2.597370,80.080840
54.909850,0.008341,4.598323,2.743704,2.743704,80.907545
62.700841,0.010220,4.446525,2.645780,2.645780,81.596402
53.348238,0.009143,4.161906,5.090949,5.090949,76.640285
50.057107,0.002920,3.938451,2.591978,2.591978,70.527532
65.673075,0.003269,3.774371,2.413409,2.413409,83.417374
61.546324,0.005734,4.061337,2.864121,2.864121,84.387768
58.778259,0.002414,4.078432,2.517853,2.517853,76.525648
57.369881,0.002077,6.829228,2.865646,2.865646,78.639996
61.951560,0.006382,4.227085,0.985307,0.985307,77.955654
55.261770,0.004121,4.191372,0.927888,0.927888,71.928488
68.373711,0.009890,5.377756,1.331284,1.331284,84.180041
68.913114,0.004420,5.708124,1.355920,1.355920,86.347807
74.849698,0.004102,6.051431,1.109096,1.109096,93.156318
66.022986,0.005525,7.111534,1.242506,1.242506,86.630310
73.315810,0.010153,7.571646,1.269093,1.269093,94.624661
66.190422,0.011538,10.523106,1.283332,1.283332,92.957609
68.143021,0.024679,11.283413,1.059925,1.059925,92.700650
101.571472,0.037973,10.278525,1.325417,1.325417,131.000887
54.483852,0.052361,7.385214,1.544344,1.544344,76.913484
57.651302,0.049230,7.527930,1.236265,1.236265,78.789040
58.897720,0.036676,8.089829,1.578947,1.578947,78.267694
58.925152,0.007501,7.894820,1.289292,1.289292,78.974391
54.255693,0.013369,7.865832,1.002561,1.002561,75.006796
56.350907,0.018330,7.719140,1.101046,1.101046,75.886185
57.881865,0.013587,11.380363,1.300411,1.300411,81.689905
93.142365,0.017390,9.720178,1.531966,1.531966,117.582551
65.343805,0.015349,10.207983,1.240889,1.240889,88.777484
60.616831,0.014134,10.444295,1.417717,1.417717,90.855016
68.601150,0.016878,11.237100,2.050357,2.050357,96.651115
64.972458,0.022270,11.184472,2.006939,2.006939,92.683895
65.418532,0.017811,11.979301,2.006500,2.006500,94.165298
70.198063,0.015603,12.215775,1.849793,1.849793,99.767909
72.067743,0.016882,12.129823,1.856247,1.856247,103.358971
68.954764,0.013468,13.306347,1.993804,1.993804,99.660424
72.477633,0.008913,12.400758,1.617080,1.617080,101.830288
70.415338,0.010541,12.666244,2.110827,2.110827,106.188981
102.412361,0.009048,13.195013,3.256107,3.256107,135.410910
69.129005,0.011643,14.853360,2.284787,2.284787,101.130543
70.667204,0.016382,16.992974,1.635021,1.635021,107.278992
68.267195,0.018267,12.887868,1.801758,1.801758,100.798659
69.431021,0.019495,13.700000,2.622311,2.622311,107.145074
76.266628,0.020716,13.998107,1.931707,1.931707,111.739428
66.073593,0.015133,13.213805,2.734935,2.734935,104.266878
70.792095,0.013331,13.287128,2.628600,2.628600,111.709135
