#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,7.887397,0.000000,0.000000,4.900146,8.359639,0.068236,16.842771
0.000000,0.000000,8.726121,0.000000,0.000000,3.764931,8.253759,0.032822,19.455797
0.000000,0.000000,6.708292,0.000000,0.000000,3.934377,6.248413,0.016355,21.158674
0.000000,0.000000,6.679639,0.000000,0.000000,4.063044,9.077724,0.044925,19.866581
0.000000,0.000000,6.584068,0.000000,0.000000,4.463612,6.269134,0.018089,17.779325
0.000000,0.000000,6.667509,0.000000,0.000000,3.962746,7.566686,0.018121,21.124263
0.000000,0.000000,6.648104,0.000000,0.000000,4.667882,7.275832,0.064546,18.396372
0.000000,0.000000,6.824244,0.000000,0.000000,4.165364,8.096714,0.033516,19.415754
0.000000,0.000000,6.883914,0.000000,0.000000,5.193537,6.537428,0.028677,19.913300
0.000000,0.000000,7.349531,0.000000,0.000000,4.655180,6.332829,0.069510,20.742599
0.000000,0.000000,7.536372,0.000000,0.000000,4.140132,6.036578,0.020777,20.437900
0.000000,0.000000,7.713764,0.000000,0.000000,4.081148,6.023265,0.024347,19.842407
0.000000,0.000000,7.206794,0.000000,0.000000,3.561478,5.518252,0.023444,18.562547
0.000000,0.000000,7.300708,0.000000,0.000000,4.831038,7.321959,0.085347,18.622456
0.000000,0.000000,9.316339,0.000000,0.000000,3.422683,5.804763,0.055341,19.514071
0.000000,0.000000,23.557922,0.000000,0.000000,2.771881,4.568410,0.022061,38.242339
0.000000,0.000000,7.449661,0.000000,0.000000,1.870386,3.799805,0.023646,17.925290
0.000000,0.000000,7.501719,0.000000,0.000000,1.606997,3.353894,0.065344,15.937272
0.000000,0.000000,7.771006,0.000000,0.000000,1.629429,3.619950,0.012089,14.519757
0.000000,0.000000,7.745025,0.000000,0.000000,2.080662,3.725292,0.020209,13.824788
0.000000,0.000000,9.695992,0.000000,0.000000,1.833686,3.549794,0.018005,15.914432
0.000000,0.000000,7.604130,0.000000,0.000000,1.783044,3.391352,0.054972,14.512969
0.000000,0.000000,7.978797,0.000000,0.000000,1.837672,3.958935,0.011852,14.562414
0.000000,0.000000,7.567401,0.000000,0.000000,2.813291,3.769623,0.012378,13.757100
0.000000,0.000000,7.993616,0.000000,0.000000,2.403109,3.386495,0.054920,14.799638
0.000000,0.000000,8.274617,0.000000,0.000000,2.076737,4.448959,0.011779,15.908546
0.000000,0.000000,7.739166,0.000000,0.000000,3.504881,4.032817,0.011683,14.555792
0.000000,0.000000,9.531103,0.000000,0.000000,2.770718,6.754344,0.020358,17.073529
0.000000,0.000000,10.834912,0.000000,0.000000,2.921898,4.540594,0.011060,19.490338
0.000000,0.000000,8.156407,0.000000,0.000000,2.945914,4.555658,0.010897,18.825439
0.000000,0.000000,7.332155,0.000000,0.000000,3.158659,7.499281,0.022242,15.780701
0.000000,0.000000,7.420975,0.000000,0.000000,2.555265,4.581253,0.011326,15.929642
0.000000,0.000000,7.400174,0.000000,0.000000,3.124106,4.559174,0.011329,19.134595
0.000000,0.000000,7.388567,0.000000,0.000000,3.082061,5.033148,0.058490,15.527193
0.000000,0.000000,7.429486,0.000000,0.000000,3.453757,5.588333,0.019028,16.188581
0.000000,0.000000,7.420966,0.000000,0.000000,3.811834,6.242737,0.025692,16.636632
0.000000,0.000000,7.776666,0.000000,0.000000,3.973402,5.981706,0.016180,17.907386
0.000000,0.000000,7.368062,0.000000,0.000000,3.986291,5.902329,0.064283,18.582289
0.000000,0.000000,7.782227,0.000000,0.000000,3.852463,7.827304,0.020749,18.859491
0.000000,0.000000,7.701610,0.000000,0.000000,5.134019,6.260615,0.023898,18.742652
0.000000,0.000000,7.400365,0.000000,0.000000,5.434406,7.827394,0.026640,20.219317
0.000000,0.000000,7.464526,0.000000,0.000000,4.578847,6.763111,0.019109,20.058343
0.000000,0.000000,7.729105,0.000000,0.000000,5.463982,7.994091,0.039186,22.220976
0.000000,0.000000,8.784663,0.000000,0.000000,4.383212,8.406934,0.112860,21.322117
0.000000,0.000000,6.916674,0.000000,0.000000,3.836424,8.895023,0.054762,21.419399
0.000000,0.000000,6.916041,0.000000,0.000000,4.282507,6.975012,0.027318,20.886894
0.000000,0.000000,6.873655,0.000000,0.000000,4.305474,7.577664,0.024337,21.005199
0.000000,0.000000,6.876799,0.000000,0.000000,3.961856,6.973475,0.066740,19.351798
0.000000,0.000000,6.837097,0.000000,0.000000,4.477673,6.811067,0.021673,20.141806
0.000000,0.000000,7.067825,0.000000,0.000000,5.115015,6.465421,0.025567,19.155118
0.000000,0.000000,7.118670,0.000000,0.000000,4.396820,7.452535,0.024616,19.515030
0.000000,0.000000,7.210498,0.000000,0.000000,5.182225,6.189890,0.065333,20.008368
0.000000,0.000000,7.167778,0.000000,0.000000,4.246022,6.402076,0.020871,20.204773
0.000000,0.000000,6.999629,0.000000,0.000000,4.231630,6.726852,0.030953,19.502865
0.000000,0.000000,7.026170,0.000000,0.000000,4.800175,7.227433,0.047130,18.833258
0.000000,0.000000,6.715527,0.000000,0.000000,3.447015,6.382280,0.029384,18.833444
0.000000,0.000000,7.462351,0.000000,0.000000,10.704091,11.971603,0.110397,22.022114
0.000000,0.000000,7.806616,0.000000,0.000000,4.354863,6.441212,0.020982,20.400612
0.000000,0.000000,30.289273,0.000000,0.000000,5.723654,10.915769,0.047929,57.693945
0.000000,0.000000,7.803601,0.000000,0.000000,6.944080,10.280139,0.040681,19.634901
0.000000,0.000000,6.852231,0.000000,0.000000,3.815003,6.032621,0.037690,24.877032
0.000000,0.000000,6.760865,0.000000,0.000000,3.653182,5.313386,0.059586,25.303359
0.000000,0.000000,6.738990,0.000000,0.000000,4.133998,5.923894,0.017883,18.519699
0.000000,0.000000,6.728370,0.000000,0.000000,3.858364,6.038235,0.021752,16.767768
0.000000,0.000000,6.804243,0.000000,0.000000,4.732999,5.612230,0.021815,17.929028
0.000000,0.000000,7.028944,0.000000,0.000000,6.333972,5.497801,0.060430,18.035585
0.000000,0.000000,8.890290,0.000000,0.000000,6.058118,7.258372,0.017283,20.338439
0.000000,0.000000,8.700287,0.000000,0.000000,6.072797,7.926758,0.025331,21.620890
0.000000,0.000000,8.920774,0.000000,0.000000,5.760552,7.614761,0.031566,23.381380
0.000000,0.000000,9.093920,0.000000,0.000000,3.696344,4.151883,0.059228,24.243259
0.000000,0.000000,8.941076,0.000000,0.000000,3.035538,4.527098,0.015381,23.550825
