#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.437670,0.026101,14.758603,19.632270,19.632270,210.710212
6.567548,0.031734,10.446161,20.898865,20.898865,224.474561
6.352130,0.023873,12.640542,19.420899,19.420899,190.801645
6.130514,0.030945,7.933443,21.132529,21.132529,134.765482
6.953345,0.022875,13.294809,18.351016,18.351016,192.263914
6.773955,0.034631,11.530677,16.610601,16.610601,243.165088
7.867397,0.041113,14.562798,19.055975,19.055975,313.060788
9.978609,0.061750,15.656711,19.240755,19.240755,325.357014
8.660005,0.032863,16.974652,21.296943,21.296943,345.249432
8.736218,0.029629,14.641435,21.266536,21.266536,354.981542
9.476723,0.036568,19.926726,29.409449,29.409449,351.597548
9.562469,0.024292,25.184890,22.357213,22.357213,563.809467
9.671881,0.030936,19.633101,26.434938,26.434938,398.047048
9.638451,0.020480,24.237081,22.303985,22.303985,415.972568
10.284410,0.020272,20.848103,24.607312,24.607312,413.889683
10.935862,0.024671,22.325341,23.990649,23.990649,448.840885
9.954093,0.025453,29.376261,27.901156,27.901156,461.081786
10.364293,0.033852,28.887977,26.436838,26.436838,428.406642
13.028844,0.041042,24.240093,31.250813,31.250813,447.549279
16.480753,0.027736,34.938251,30.906862,30.906862,508.670147
13.335343,0.041478,27.119016,31.921488,31.921488,516.324488
15.419379,0.043681,38.357232,27.032629,27.032629,553.734814
12.487950,0.026333,30.162360,30.186015,30.186015,739.962197
14.016469,0.025141,29.005629,19.379064,19.379064,1307.897374
13.506110,0.026538,30.519773,11.271273,11.271273,1242.627133
12.196326,0.016034,26.762967,29.591960,29.591960,1156.751517
10.747418,0.019537,20.201081,29.959192,29.959192,1102.446864
9.531306,0.017145,21.169555,30.221979,30.221979,841.759446
9.855002,0.019038,27.864673,25.042486,25.042486,787.269717
9.872462,0.027095,21.173525,36.478855,36.478855,786.338213
8.608564,0.024532,22.271750,31.102721,31.102721,862.354556
10.421472,0.027637,20.952042,35.631287,35.631287,744.928609
9.294138,0.018732,19.876892,34.934291,34.934291,542.826043
10.062682,0.021972,22.787980,29.907007,29.907007,580.874071
10.263223,0.026558,21.519216,29.138515,29.138515,680.068414
9.285617,0.020696,21.751824,23.643714,23.643714,496.218688
9.000399,0.022390,21.217367,26.603889,26.603889,419.515238
8.578360,0.024392,17.932800,28.476285,28.476285,426.394775
8.658101,0.028460,21.498977,28.333824,28.333824,418.657905
12.737075,0.026751,24.615536,27.000586,27.000586,483.042261
11.116748,0.036718,19.682051,30.624526,30.624526,419.766662
10.763330,0.032785,18.884047,34.777927,34.777927,424.506655
9.134069,0.030025,23.321783,35.397506,35.397506,460.538157
9.663022,0.036740,20.918550,38.416179,38.416179,500.280054
10.490693,0.023450,21.560736,27.091203,27.091203,536.581735
11.409530,0.023964,24.524895,33.439658,33.439658,571.119693
11.505530,0.025276,23.124941,35.225921,35.225921,594.977457
11.794907,0.021604,26.633943,34.953948,34.953948,695.800922
12.724678,0.022333,31.045580,25.274382,25.274382,712.348190
13.159254,0.027489,27.089346,27.937604,27.937604,695.229366
12.069965,0.020035,23.345196,34.303510,34.303510,638.275771
10.835001,0.027603,25.179398,27.125812,27.125812,582.047318
11.114291,0.021178,20.975757,35.433730,35.433730,635.717221
12.827665,0.019555,20.121248,33.138953,33.138953,522.371924
13.430904,0.024520,22.302197,29.547140,29.547140,523.405048
11.441916,0.019389,20.160747,31.165897,31.165897,551.510222
12.919024,0.022406,33.710304,28.541749,28.541749,1187.777343
13.241968,0.023744,26.425613,24.282348,24.282348,744.674941
13.301411,0.023057,25.851166,26.632810,26.632810,1094.973941
14.319011,0.026102,29.888036,12.157233,12.157233,1113.303428
21.635848,0.029577,38.490628,34.556211,34.556211,1156.877475
14.416689,0.026734,33.896362,12.005139,12.005139,1335.050967
17.239513,0.046656,31.411439,42.611142,42.611142,1028.232711
18.263674,0.022749,27.428352,7.210288,7.210288,1242.201504
13.731185,0.016333,32.698253,36.210671,36.210671,1151.979431
13.723785,0.023802,27.504395,25.905014,25.905014,1126.587471
13.373699,0.022179,25.498662,27.451991,27.451991,971.493019
19.552999,0.027066,40.435145,9.065679,9.065679,1277.681064
11.170740,0.021548,26.792617,30.258437,30.258437,753.752326
11.744809,0.017406,28.362233,43.604013,43.604013,949.522403
12.058035,0.023041,31.665161,39.011982,39.011982,744.164742
12.461640,0.028405,27.248682,40.171639,40.171639,806.203134
11.202367,0.018260,29.540049,33.682943,33.682943,718.053254
13.401558,0.026490,26.283238,16.949153,16.949153,1323.380657
14.764558,0.046479,24.813870,37.135969,37.135969,1006.607699
12.598040,0.025440,30.830922,34.990399,34.990399,1151.642105
11.333704,0.027270,23.266832,45.588976,45.588976,769.939188
11.308902,0.028193,20.746231,37.161198,37.161198,788.160705
11.521119,0.027558,22.222823,33.339696,33.339696,821.140329
14.597503,0.023027,21.938309,31.862224,31.862224,846.046758
10.471183,0.026516,24.031842,32.665770,32.665770,801.232719
15.829675,0.034759,26.180821,49.108504,49.108504,961.762553
13.928915,0.030891,33.380261,33.708522,33.708522,1005.446799
17.791154,0.033418,28.787144,31.111137,31.111137,915.261118
15.405854,0.034922,35.614112,38.011240,38.011240,1068.409055
15.874130,0.034902,32.707391,41.923167,41.923167,897.681320
15.098383,0.027786,32.731424,55.364690,55.364690,1007.630208
